Research Question #3: In which pipeline sections or pipeline directives are artifacts most frequently and least frequently archived?
Answer: 
Section,NumArtifacts,Percentage
stage,159,60.5
post-always,53,20.2
post-success,26,9.9
post-failure,25,9.5
"
"
Jenkinsfile Parsed Data for Artifacts and Sections
RepoNum,Username,RepositoryName,Artifact,ParentSection,SectionName,Occurrence
159,Marconi-weLearn,weLearn-be,*.jar,post-success,success,1
159,Marconi-weLearn,weLearn-be,*.jar,stage,report,2
160,anthonykulis,simple-test,*.war,stage,build,1
161,effectivejenkins,effective_jenkins_volume2,*.jar,stage,Build,1
162,amiteshCoder,demo-repo,*.war,post-success,success,1
163,m-m-m,util,*.jar,stage,archive,1
164,ajitsahu,pipeline-project,build_number,post-success,success,1
165,quantenkeks,golden-nugget,hello-world,stage,Build,1
166,jherbage,sample-java-project,*.jar,post-always,always,1
167,KodingKing1,KKOS,*.jar,stage,ArchiveArtifacts,1
168,tosektosek,cinematograph,',stage,archival,1
169,lcfb91,test,*,stage,artifacts,1
170,mattwilliams5,java-project,*.jar,post-always,always,1
171,ubports,ubports-installer,ubports-installer*,stage,error,1
172,sowmithgantla,jenkins_test,build_number,post-success,success,1
173,themr0c,themr0ctalks,*.html,stage,Anotherstep,1
174,JohnTortugo,Semantikin,Semantikin,stage,Build,1
175,cmagnuson,DataLoader,**,stage,Build,1
176,prash231,java-project,*.jar,post-always,always,1
177,kdamera1,Jenkins-Pipeline-Without-SCM,build_number,post-success,success,1
178,KodingKing1,KKOS,*.jar,stage,ArchiveArtifacts,1
179,tosektosek,cinematograph,',stage,archival,1
180,Beartigger,JavaProject,*.jar,post-always,always,1
181,evankicks,billingservice,*.war,stage,archive,1
182,jarlehansen,spring-boot-blueocean,*.jar,stage,Build,1
183,cbroom,java-project,*.jar,post-always,always,1
184,chrisi,vv-workshop-hello,*.jar,stage,ArchiveArtefacts,1
185,awsndevopstraining,myweb,*.war,stage,Archive,1
186,daiando,java-project,*.jar,post-always,always,1
187,paolocarrasco,springboot-demo,*.jar,stage,assemble,1
188,sabdulrahim,app,*.war,stage,Archive,1
189,anand0305,test,*.jar,stage,Build,1
190,karthikrmw,JavaPrJ,*.jar,post-always,always,1
191,netors,cli,**,stage,Deploy,1
192,dharmsheta,application-build,*.sh,stage,Build,1
193,pablotj,threeInLine-animated,*.jar,post-always,always,1
194,sunketIngale,helloWorldDCB,hello,post-always,always,1
195,red997,jen-java-project,*.jar,post-always,always,1
196,kirankumarbussa,calculator,*.jar,post-success,success,1
